JOB_POSTING_NAME,INTERVIEW_NAME,CANDIDATE_ID,INTERVIEWER_ID,SCORE,CREATEDAT_MS
Software Engineer – Intern,Phone Screen #2,33fdaa70-a6ce-43bf-9f3b-e1cdb1fa8435,bb231d23-2581-4f82-8508-773cbb6da11b,3 - Hire,2018-11-01 22:22:04.182
Software Engineer – Intern,Phone Screen #2,33fdaa70-a6ce-43bf-9f3b-e1cdb1fa8435,955a4c54-e7a9-45c1-8e06-6de24a6ed5bc,3 - Hire,2018-11-01 20:07:54.658
Software Engineer – Intern,Phone Screen #1,33fdaa70-a6ce-43bf-9f3b-e1cdb1fa8435,522b9494-0bc1-4f68-8123-f63a9af90a26,3 - Hire,2018-10-26 20:32:19.732
Software Engineer – Intern,Phone Screen #1,33fdaa70-a6ce-43bf-9f3b-e1cdb1fa8435,8cb0f5a0-ab9a-4fe9-b164-202d6f3030d1,3 - Hire,2018-10-26 19:32:09.283
Software Engineer – Intern,Recruiter Phone Screen,33fdaa70-a6ce-43bf-9f3b-e1cdb1fa8435,b647ea2e-94f8-4789-b301-f9deb7643fae,4 - Strong Hire,2018-10-19 18:00:38.284
Software Engineer – Intern,Recruiter Phone Screen,ce2b9e03-0d10-4b62-acee-08f31622ac69,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-08-24 17:01:46.244
Software Engineer – Intern,Phone Screen #2,7d618183-0b8a-4e19-8581-95c8d06e82d4,ad76ac92-cc68-40fa-8c74-509305f4a028,3 - Hire,2018-11-16 16:43:26.268
Software Engineer – Intern,Phone Screen #2,7d618183-0b8a-4e19-8581-95c8d06e82d4,cd598598-e2bb-4e0e-93a3-169bae2dd824,3 - Hire,2018-11-14 21:17:59.220
Software Engineer – Intern,Phone Screen #1,7d618183-0b8a-4e19-8581-95c8d06e82d4,fea3236e-92eb-4bb9-87a5-81af670fd86a,3 - Hire,2018-10-29 21:12:42.566
Software Engineer – Intern,Phone Screen #1,7d618183-0b8a-4e19-8581-95c8d06e82d4,df5de17b-fd9f-45ac-8db2-7bd61d06feec,3 - Hire,2018-10-29 21:01:54.656
Software Engineer – Intern,Recruiter Phone Screen,72881ee1-6efb-45c5-bab0-3d507f1c2414,b647ea2e-94f8-4789-b301-f9deb7643fae,4 - Strong Hire,2018-08-15 22:58:49.747
Software Engineer – New Grad,Recruiter Phone Screen,6e9e28ad-6a55-4908-b79f-f543307b1a84,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-10-16 16:52:40.284
Software Engineer – Intern,Recruiter Phone Screen,01f3208e-bff5-4994-9968-a2e3f9730b1c,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-08-31 18:39:38.775
Software Engineer – New Grad,Recruiter Phone Screen,1b2635b4-0b29-4a31-8fbf-a8a7640aaca1,b647ea2e-94f8-4789-b301-f9deb7643fae,1 - Strong No Hire,2018-08-30 21:25:46.959
Software Engineer – New Grad,Recruiter Phone Screen,d7aae54c-f1e0-4edc-b21b-ad51f7a2dba1,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-12-04 21:34:55.557
Software Engineer – Intern,Recruiter Phone Screen,15abd352-59ce-4d76-80d9-c8ac20ff0d74,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-08-02 20:02:52.253
Software Engineer – Intern,Recruiter Phone Screen,4c7a0578-4021-4a04-a2ab-296dc0a5f70d,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2019-01-11 18:31:03.352
Software Engineer – Intern,Recruiter Phone Screen,774987d2-6974-46c4-ad39-09fdc1a26227,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-08-14 21:11:02.289
Software Engineer – Intern,Recruiter Phone Screen,28c09353-9be0-4a8c-a792-0d9d3358a5e8,b647ea2e-94f8-4789-b301-f9deb7643fae,3 - Hire,2018-08-21 23:26:55.183
Software Engineer – New Grad,Recruiter Phone Screen,5ff3d0a0-d9cb-4bd7-8fb0-27617851dd7c,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-12-20 17:53:10.186
Software Engineer – Intern,Recruiter Phone Screen,6dbce8bd-9034-4861-97a2-0a3ebed5cd36,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-12-06 22:53:52.513
Software Engineer – New Grad,Recruiter Phone Screen,43c1b020-0ef7-40c0-9522-cdbfeeda8ad5,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-12-04 20:54:29.067
Software Engineer – New Grad,Recruiter Phone Screen,7c045cc6-6690-4836-90af-38ed8b4bbc7a,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-11-28 23:53:34.599
Software Engineer – New Grad,Recruiter Phone Screen,babfb329-3ccd-4850-8f0f-93a49585aa64,b647ea2e-94f8-4789-b301-f9deb7643fae,2 - No Hire,2018-11-19 23:51:08.299
